datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,conditions
01-01-2019,75.3,51.8,62.5,75.3,51.8,62.5,50.4,67.4,0,0,0,17,9.2,344.7,1018.3,0,1.7,Clear
02-01-2019,78.8,53.6,65,78.8,53.6,65,51.6,64.3,0,0,0,13.6,9.2,330.6,1017.9,1.1,1.9,Clear
03-01-2019,77,51.8,64,77,51.8,64,50.8,66.2,0,0,0,15.4,6.9,323.8,1018.5,0,1.5,Clear
04-01-2019,75.4,51.8,62.9,75.4,51.8,62.9,49.5,64.9,0,0,0,17.4,9.2,3.5,1019,0,1.5,Clear
05-01-2019,77,50,63,77,49.4,63,50.6,66.2,0,0,0,18.1,11.4,348.4,1017.5,1.8,1.8,Clear
06-01-2019,78.8,53.6,65.3,78.8,53.6,65.3,51.7,64.4,0,0,0,15.4,8.1,344.8,1015.6,0,2.1,Clear
07-01-2019,80.6,53.6,66.4,80.1,53.6,66.3,53,66,0,0,0,15.7,9.2,333.7,1013.8,0,1.8,Clear
08-01-2019,77.1,57.1,65.8,77.1,57.1,65.8,53.6,67.1,0,0,0,19.5,9.2,337.5,1013.3,0,1.9,Clear
09-01-2019,75.5,55.4,65.1,75.5,55.4,65.1,53.5,68.5,0,0,0,14.1,6.9,344,1014.9,1,1.9,Clear
10-01-2019,75.4,53.6,64.4,75.4,53.6,64.4,52.5,67.9,0,0,0,14.3,8.1,4.9,1015.6,0,1.9,Clear
11-01-2019,75.4,51.8,63,75.4,51.8,63,49.5,65.2,0,0,0,18.3,10.3,343,1016.2,0,1.6,Clear
12-01-2019,77.1,53.6,64.1,77.1,53.6,64.1,52.5,68.7,0,0,0,18.8,9.2,345.2,1016,0,1.7,Clear
13-01-2019,78.8,51.8,65.4,78.8,51.8,65.4,53.1,67.6,0,0,0,16.3,8.1,340.4,1015.8,0,1.7,Clear
14-01-2019,78.8,55.4,66.5,78.8,55.4,66.5,55,68.9,0,0,0,13.6,5.8,312.7,1014.5,15.5,1.5,Clear
15-01-2019,75.3,57.2,65.3,75.3,57.2,65.3,51.6,64.5,0,0,0,21,10.3,350.6,1015.8,12.4,1.8,Clear
16-01-2019,75.2,50,62.5,75.2,47.8,62.4,46.2,58.8,0,0,0,18.8,11.4,340.1,1016.4,0,2.2,Clear
17-01-2019,77,50,62.9,77,50,62.9,48.8,63,0,0,0,13.2,6.9,317.3,1014.2,0,1.8,Clear
18-01-2019,77.8,53.6,65.2,77.8,53.6,65.2,52.9,67.3,0,0,0,15.2,6.9,333.4,1014.3,0,1.8,Clear
19-01-2019,77.1,55.4,64.6,77.1,55.4,64.6,51.4,65.6,0,0,0,15.9,8.1,323.2,1015.6,0,1.7,Clear
20-01-2019,77.1,51.8,64.4,77.1,51.8,64.4,53,69.3,0,0,0,14.1,8.1,331.7,1015.5,0,1.7,Clear
21-01-2019,80.6,53.6,65.5,80.3,53.6,65.5,53.6,68.9,0,0,0,14.1,5.8,341.5,1015.3,0,1.6,Clear
22-01-2019,82.4,53.6,67.3,82.1,53.6,67.3,55.5,69.4,0,0,0,9.8,5.8,348.2,1015.3,0,1.5,Clear
23-01-2019,84.2,57.1,68.9,83.1,57.1,68.7,55.7,67,0,0,0,11,5.8,100.5,1015.1,0,1.7,Clear
