name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kolkata,2023-01-01,26,18,21.3,26,18,21.3,17.3,78.6,0,0,0,,0,0,19.1,11.2,58.9,1017.3,24.6,1.5,126.2,10.9,5,10,2023-01-01T06:16:38,2023-01-01T17:03:13,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
kolkata,2023-01-02,26,17,20.9,26,17,20.9,15.9,74.7,0,0,0,,0,0,22.3,11.2,25.4,1018.1,11.8,2,161.2,13.8,7,10,2023-01-02T06:16:56,2023-01-02T17:03:51,0.34,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
kolkata,2023-01-03,23,15.4,18.2,23,15.4,18.2,15.4,84.3,0,0,0,,0,0,29.2,14.8,359.6,1018.5,24.3,1.4,149.5,12.8,7,10,2023-01-03T06:17:13,2023-01-03T17:04:30,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
kolkata,2023-01-04,23,14.9,17.7,23,14.9,17.7,14.8,83.4,0,0,0,,0,0,37.4,16.6,9.2,1018.4,25.6,1.7,162.2,14.1,7,10,2023-01-04T06:17:29,2023-01-04T17:05:09,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
kolkata,2023-01-05,23,13,17.6,23,13,17.6,13.8,79.5,0,0,0,,0,0,32.4,18.4,346.9,1019,11.2,1.9,188.7,16.4,7,10,2023-01-05T06:17:44,2023-01-05T17:05:49,0.44,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
kolkata,2023-01-06,24,12.4,17.8,24,12.4,17.8,12.8,73.9,0,0,0,,0,0,30.2,16.6,335.7,1018.6,0,2,197.6,17.1,7,10,2023-01-06T06:17:57,2023-01-06T17:06:29,0.48,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,42805099999,VECC,42812099999,42809099999"
kolkata,2023-01-07,23,12.9,16.9,23,12.9,16.9,12.8,78.3,0,0,0,,0,0,31.3,16.6,338.7,1016.5,0.1,1.8,194.7,16.8,7,10,2023-01-07T06:18:10,2023-01-07T17:07:10,0.5,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
kolkata,2023-01-08,25,13,18.2,25,13,18.2,13.6,76.5,0,0,0,,0,0,27,13,357.7,1015.7,2.4,1.9,185.9,16,7,10,2023-01-08T06:18:21,2023-01-08T17:07:51,0.54,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,42805099999,VECC,42812099999,42809099999"
kolkata,2023-01-09,27,13.8,19.7,27.7,13.8,19.8,14.4,73.3,0,0,0,,0,0,22.7,13,356.1,1016.7,0,2.1,193.1,16.7,7,10,2023-01-09T06:18:30,2023-01-09T17:08:32,0.58,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
kolkata,2023-01-10,28,14,20.2,27.1,14,20.1,11.1,59.4,0,0,0,,0,0,24.8,14.8,344.3,1015.5,0,2.8,198,17,7,10,2023-01-10T06:18:38,2023-01-10T17:09:14,0.61,Clear,Clear conditions throughout the day.,clear-day,"42807099999,42714099999,41946099999,42811099999,VECC,42812099999,42809099999"
